INDEX,Bsku,Manufac,Name,Flavor,Size,Minimum
00001,01604,All Ways Natural,Shampoo,,12oz,12
00002,01606,All Ways Natural,Conditioner,,12oz,12
00003,01612,All Ways Natural,911 Extra-dry Treatment,,8oz,12
00004,01628,All Ways Natural,Super Gro,,5.5oz,12
00005,01635,All Ways Natural,Super Gro Max,,5.5oz,12
00006,01638,All Ways Natural,Isogro,,5.5oz,12
00007,01640,All Ways Natural,Castor Oil Herbal,,5.5oz,12
00008,01642,All Ways Natural,Castor Oil,,5.5oz,12
00009,01644,All Ways Natural,911 Hair Treatment,,8oz,12
00010,01665,All Ways Natural,911 Creme Conditioner,,8oz,12
00011,01668,All Ways Natural,911 Extra Dry Creme Conditioner,,8oz,12
00012,01672,All Ways Natural,No-Lye Relaxer Kit Regular,Regular,,12
00013,01674,All Ways Natural,No Lye Relaxer Kit Super,Super,,12
00014,01900,Ampro,Pro Styl Protein Styling Gel,,6oz,12
00015,01903,Ampro,Pro Styl Super Styling Gel,,6oz,24
00016,01904,Ampro,Pro Styl Protein Styling Gel,,10oz,12
00017,01906,Ampro,Pro Styl Clear Ice Styling Gel,,6oz,12
00018,01908,Ampro,Pro Styl Protein Styling Gel,,32oz,6
00019,01909,Ampro,Pro Styl Clear Ice Styling Gel,,15oz,12
00020,01910,Ampro,Marcel Wax,,12oz,12
00021,01911,Ampro,Pre-Creme Sensitive Scalp,,12oz,12
00022,01912,Ampro,Pro Styl Protein Styling Gel,,15oz,12
00023,01913,Ampro,Pro Styl Clear Ice Styling Gel,,5lb,6
00024,01914,Ampro,Pro Styl Protein Styling Gel,,5lb,6
00025,01915,Ampro,Pro Styl Super Protein Styling Gel,,5lb,6
00026,01916,Ampro,Marcel Curl Wax,,4oz,24
00027,01919,Ampro,Wrap N Styl Lotion,,16oz,12
00028,01920,Ampro,Neutra Foam Shampoo,,8oz,12
00029,01923,Ampro,Pre Creme Sensitive Scalp,,3lb,12
00030,01924,Ampro,Pro Styl Super Styling Gel,,10oz,12
00031,01925,Ampro,Pro Styl Super Styling Gel,,32oz,6
00032,01928,Ampro,Pro Styl Clear Ice Styling Gel,,10oz,12
00033,01929,Ampro,Pro Styl Super Styling Gel,,15oz,12
00034,01930,Ampro,Pro Styl Clear Ice Styling Gel,,32oz,6
00035,01932,Ampro,Bergamot Conditioner,,4oz,12
00036,01934,Ampro,Purple Rain Gel Regular,,6oz,12
00037,01935,Ampro,Purple Rain Gel Mega,,6oz,12
00038,01936,Ampro,Curl Activator Gel,,8oz,12
00039,01937,Ampro,Purple Rain Gloss Spray,,6oz,12
00040,01938,Ampro,Purple Rain Style Foam,,7.1oz,12
00041,01939,Ampro,Protein Gel 6oz w/free 2oz Purple Rain,,,12
00042,01941,Ampro,Protein Gel 10oz 2 pack,Regular,,6
00043,01942,Ampro,Protein Gel 10oz 2 pack,Clear,,6
00044,01943,Ampro,Protein Gel 10oz 2 pack,Super,,12
00045,02000,Andis,Shave N Trim Kit  #'26712,,,12
00046,02058,Andis Professional,Attachment Comb 9pc #12995,,,12
00047,02063,Andis Professional,GTX T-Outliner Blade #04850,,,12/72
00048,02096,Andis Professional,Blade Care Dip Jar,,16oz,12
