Bsku,c_Desc,unit,buyer
ITEM_NO,ITEM_DESCRIPTION,ITEM_UNIT_DEPTH,BUYER_NAME
00000,NON-INVENTORY ITEM,.00,LISA MOLUSIS
00001,DISPLAY ALLOWANCE,.00,LISA MOLUSIS
00002,DISCOUNT,.00,LISA MOLUSIS
00004,PALLET OF SALVAGE MERCHADISE,11.00,LISA MOLUSIS
00006,*CARDBOARD DUMP DISPLAY,.00,ROCKY PICCIRILLO
00007,BEAUTY QUARTERLY PRICE BOOK,10.00,LISA MOLUSIS
00008,FLYERS & SHELF TALKERS,.00,LISA MOLUSIS
00009,POSTERS + DISPLAY MATERIAL AST,.00,LISA MOLUSIS
00010,*SAMPLES FOR PROMOTIONAL USE,.00,LISA MOLUSIS
00013,*WINN DIXIE PROMO,.00,CAROL SANCHEZ
00015,FAMILY DOLLAR ORDER FORM #4,.00,LISA MOLUSIS
00019,87985 KARIZMA PRICE CORRECTION,.00,ROCKY PICCIRILLO
00021,SHIP CVS PLANOGRAM ORDER,.00,CAROL SANCHEZ
00022,DONOT SHIP CVS PLANOGRAM ORDER,.00,CAROL SANCHEZ
00024,CVS MAUAL 2004,10.00,CAROL SANCHEZ
00025,"CVS ""NEW ITEM"" LABELS  2 PAGES",10.00,ROCKY PICCIRILLO
00026,NON GUARANTEE SALE ITEM,10.00,ROCKY PICCIRILLO
00027,CVS 2009 HERITAGE BOX,10.00,CAROL SANCHEZ
00030,BTY ENT LEISURE CASE,1.13,CAROL SANCHEZ
00031,BTY ENT 2G USB MEMORY STICK,1.13,CAROL SANCHEZ
00032,KALORIK COFFEMKR TIMER/THERMO,8.50,LISA MOLUSIS
00033,LUSTERS PCJ GIRLS BICYCLE,.00,DAVID KEER
00034,BTY ENT COMPUTER BACKPACK,.00,CAROL SANCHEZ
00036,BE LUGGAGE TAGS,.00,LISA MOLUSIS
00037,BE PERSONAL GROOMING KIT,.00,LISA MOLUSIS
00041,BTY ENT ROLL COMPUTER ATTACHE,.00,LISA MOLUSIS
00044,BEAUTY ENT LTHR JR PADFOLIO,.00,CAROL SANCHEZ
00045,BEAUTY ENT LTHR TABLET HOLDER,.00,LISA MOLUSIS
00046,BTY ENT STEEL TRAVEL MUG,7.50,LISA MOLUSIS
00048,BEAUTY/ASST MFG TOTE BAG,.00,LISA MOLUSIS
00050,*CVS CALENDARS 100ea,.00,LISA MOLUSIS
00051,*OSCO/SAVON 2005CALENDARS120PC,.00,LISA MOLUSIS
00053,BEAUTY ENT COOLER ON WHEELS,.00,LISA MOLUSIS
00055,*BTY ENT GOLF BALL 3/SLEEVE,1.82,LISA MOLUSIS
00059,KUZA FLYER - 3 FREE SHEA BTR8z,.00,CAROL SANCHEZ
00060,BTY ENT TOWEL:WHITE W/SCREEN,.00,CAROL SANCHEZ
00061,KUZA POSTER - APRICOT SCRUB,.00,CAROL SANCHEZ
00062,KUZA POSTER - SHEA NATURALS,.00,CAROL SANCHEZ
00063,KUZA POSTER - ORGANIC MARROW,.00,CAROL SANCHEZ
00064,KUZA POSTER - MIXED ITEMS,.00,CAROL SANCHEZ
00065,DARBEE COCOA BUTTER TUBE EMPTY,.00,CAROL SANCHEZ
00066,BEAUTY ENT STAND UP STAPLER,.00,LISA MOLUSIS
00067,*SOFT SHEEN PLASTIC BAGS1000ct,.00,DAVID KEER
00068,KUZA POSTER - INDIAN HEMP,.00,CAROL SANCHEZ
00069,KUZA POSTER - RELAXER,.00,CAROL SANCHEZ
00070,KUZA SALON CAPE,.00,CAROL SANCHEZ
00071,KUZA TECHNICIAN/BARBER SHIRT,.00,CAROL SANCHEZ
00072,KUZA SALON UTILITY VEST,.00,CAROL SANCHEZ
00073,KUZA TECHNICIAN SHIRT,.00,CAROL SANCHEZ
00074,KUZA SALON APRON,.00,CAROL SANCHEZ
00075,KUZA TECHNICIAN LONG SHIRT,.00,CAROL SANCHEZ
00076,KUZA SALON CLIENT ROBE,.00,CAROL SANCHEZ
00077,KUZA SALON TOWEL,.00,CAROL SANCHEZ
00078,KUZA BANNER - RELAXER REG&SUP,.00,CAROL SANCHEZ
00079,KUZA BANNER - INDIAN HEMP,.00,CAROL SANCHEZ
00080,KUZA BANNER - APRICOT SCRUB,.00,CAROL SANCHEZ
00081,KUZA BANNER - ORGANIC MARROW,.00,CAROL SANCHEZ
00082,KUZA BANNER - COCONUT CREME,.00,CAROL SANCHEZ
00083,TRADSHW APPRECIATION PPK   -NJ,.00,CAROL SANCHEZ
00084,P&G COUNTER CHANGE MAT,.25,LISA MOLUSIS
00085,P&G MERCHANDISE PADDLE,.19,LISA MOLUSIS
00086,PALLET OF SALVAGE MERCHADISE,11.00,LISA MOLUSIS
00087,P&G MEN SHORTSLEEVE XL TSHIRT,.00,LISA MOLUSIS
00088,P&G LADY LONG SLEEVE XL TSHIRT,.00,LISA MOLUSIS
00089,P&G LADY LONG SLEEVE L TSHIRT,.00,LISA MOLUSIS
00090,TRADSHW APPRECIATION PPK  -DET,.00,CAROL SANCHEZ
00091,MS CLAIROL MINI SWATCH BOOK,.30,CAROL SANCHEZ
00092,CLAIROL APPRECIATION BAG,.00,CAROL SANCHEZ
00093,P&G PROMOTIONAL KIT,.00,CAROL SANCHEZ
00094,P&G CLAIROL TOWEL NAVY BLUE,.00,CAROL SANCHEZ
00095,P&G CLEAR BAGS,.00,CAROL SANCHEZ
00096,JAZZING COSMETIC BAG,.00,CAROL SANCHEZ
00097,JAZZING COSMETIC MIRROR,.90,CAROL SANCHEZ
00098,BEAUTIFUL COLLECT SWATCH RING,1.00,CAROL SANCHEZ
00099,JAZZING SWATCH RING,1.00,CAROL SANCHEZ
00100,BLKRAD 2016 010   LIST #20,10.00,JODI SULLIVAN
00101,BLKRAD 2017 ,10.00,JODI SULLIVAN
00102,BLKRAD 2016 003/020  LIST #22,10.00,JODI SULLIVAN
00103,BLKRAD 2017  001  LIST #23,10.00,JODI SULLIVAN
00104,BLKRAD 2017 002   LIST #24,10.00,JODI SULLIVAN
00105,BLKRAD 2017 003   LIST #25,.00,JODI SULLIVAN
00106,BLKRAD 2017 010   LIST #26,.00,JODI SULLIVAN
00107,BLKRAD 2017 011   LIST #27,.00,JODI SULLIVAN
00108,BLKRAD 2017 020   LIST #28,.00,JODI SULLIVAN
00109,BLKRAD 2017  101/001  LIST #29,.00,JODI SULLIVAN
00110,BLKRAD  2017 102/002 LIST #30,10.00,ROCKY PICCIRILLO
00111,DETAIL CHECK IN,10.00,ROCKY PICCIRILLO
00112,BLKRAD 2017 103/003 LIST #31,10.00,ROCKY PICCIRILLO
00113,BLKRAD  2017 110/010 LIST 32,10.00,ROCKY PICCIRILLO
00114,BLKRAD  2017 111/011 LIST #33,10.00,ROCKY PICCIRILLO
00115,BLKRAD 2017  120/020 LIST #34,10.00,ROCKY PICCIRILLO
00116,BLK OPL 12x78 2018 BRL-5630,.00,JODI SULLIVAN
00117,BLK OPL 24X60 2018 BRL-5631,.00,JODI SULLIVAN
00118,BLK OPL 24x65 2018 BRL-5632,.00,JODI SULLIVAN
00119,BLK OPL 24X78 2018 BRL-5633,10.00,ROCKY PICCIRILLO
00120,BLK OPL 36X65 2018 BRL-5634,10.00,ROCKY PICCIRILLO
00121,BLK OPL 36X78 2018 BRL-5635,10.00,ROCKY PICCIRILLO
00122,BLK OPL 42X60 2018 BRL-5636,10.00,ROCKY PICCIRILLO
00123,BLKOPAL 24X65 SKO 2017 LIST#9,10.00,ROCKY PICCIRILLO
00124,BLKOPL 24X78 SKO 2017 LIST#5,10.00,ROCKY PICCIRILLO
00125,BLKOPL 36X65 SKO 2017 LIST#10,10.00,ROCKY PICCIRILLO
00126,BLKOPL 36X78 SKO 2017 LIST#8,10.00,ROCKY PICCIRILLO
00129,SUPER 10 ADDS,10.00,ROCKY PICCIRILLO
00130,(50) 12'SUPR10 ADDS (VARIETY),10.00,ROCKY PICCIRILLO
00131,(52) 12'LW&HI ADDS (VARIETY),10.00,ROCKY PICCIRILLO
00132,(54) 12.5' LW ADDS (VARIETY),10.00,ROCKY PICCIRILLO
00133,(56) 20' LOW ADDS  (VARIETY),10.00,ROCKY PICCIRILLO
00134,(58) 16' HI ADDS   (VARIETY),10.00,ROCKY PICCIRILLO
00135,(5A) 20'LOW 2.5 ADDS (VARIETY),10.00,ROCKY PICCIRILLO
00136,(5C) 24' LOW ADDS  (VARIETY),10.00,ROCKY PICCIRILLO
00137,(5E) 25' LOW ADDS  (VARIETY),10.00,ROCKY PICCIRILLO
00138,(5G) 36' LOW ADDS  (VARIETY),10.00,ROCKY PICCIRILLO
00139,(5K) 37.5' ADDS    (VARIETY),10.00,ROCKY PICCIRILLO
00140,(5I) 40' LOW ADDS  (VARIETY),10.00,ROCKY PICCIRILLO
00142,(42) 12ftLOW 60 3 FT  (CVS),10.00,ROCKY PICCIRILLO
00144,(44) 12FT LOW  60     (CVS),10.00,ROCKY PICCIRILLO
00146,(46) 12FT HIGH        (CVS),10.00,ROCKY PICCIRILLO
00148,(48) 15FT LOW         (CVS),10.00,ROCKY PICCIRILLO
00150,(50) 16FT LOW / HIGH  (CVS),10.00,ROCKY PICCIRILLO
00151,(57) 2' BLACK OPAL  (WD),10.00,ROCKY PICCIRILLO
00152,(52)20FT LOW/HI 21FT LOW(CVS),10.00,ROCKY PICCIRILLO
00156,(56) 24FT LOW  - 32 LOW (CVS),10.00,ROCKY PICCIRILLO
00201,*2000 CHECKPOINT TAGS #2928 RF,.00,LISA MOLUSIS
00202,BEAUTIFUL COLLECT TIMER  CLOCK,.00,CAROL SANCHEZ
00203,*CLAIROL PROFESSIONAL COMB12pk,.00,CAROL SANCHEZ
00204,CLAIROL FEATHER DUSTER,.88,CAROL SANCHEZ
00205,ULTRA SHEEN COND DISPLAY  RACK,3.45,CAROL SANCHEZ
00206,AGS BLACK LATEX GLOVES 1 PAIR,.27,CAROL SANCHEZ
00210,VARIETY MIXED PACKETTES,.00,CAROL SANCHEZ
00215,CVS 2010 AUGUST RESET LIST #1,10.00,ROCKY PICCIRILLO
00216,CVS 2010 AUGUST RESET LIST #2,10.00,ROCKY PICCIRILLO
00217,CVS 2010 AUGUST RESET LIST #3,10.00,ROCKY PICCIRILLO
00218,CVS 2010 AUGUST RESET LIST #4,10.00,ROCKY PICCIRILLO
00219,CVS 2010 AUGUST RESET LIST #5,10.00,ROCKY PICCIRILLO
00220,CVS 2010 AUGUST RESET LIST #6,10.00,ROCKY PICCIRILLO
00300,FINAL SALE CLOSEOUT ITEM $0.50,.00,CAROL SANCHEZ
00301,FINAL SALE CLOSEOUT ITEM $1.00,.00,CAROL SANCHEZ
00302,FINAL SALE CLOSEOUT ITEM $2.00,.00,CAROL SANCHEZ
00303,FINAL SALE CLOSEOUT ITEM $3.00,.00,CAROL SANCHEZ
00304,FINAL SALE CLOSEOUT ITEM $4.00,.00,CAROL SANCHEZ
00305,FINAL SALE CLOSEOUT ITEM $5.00,.00,CAROL SANCHEZ
00310,4z CHOLESTEROL FREE   ,.00,CAROL SANCHEZ
00350,"JANAY 11.5""BEAD&BRAID   #10002",2.48,CAROL SANCHEZ
00360,"ARIA 12""HAIR PLAY SET   #11002",3.65,CAROL SANCHEZ
00370,"ALYSA 11.5""HAIR HIGHLITE#20003",2.42,CAROL SANCHEZ
00395,HYPE HAIR VOL.23 ISSUE#4(KUZA),.00,CAROL SANCHEZ
00400,RUBBERMAID 48 QUART COOLER RED,14.25,CAROL SANCHEZ
00480,*SUPER GLUE CARD .3grams12@.59,.55,ROCKY PICCIRILLO
00490,"CCW HEXAGON FISHBOWL   6"" X 8""",9.30,LISA MOLUSIS
00492,"WINN DIX HEX FISHBOWL  6"" x 8""",.00,LISA MOLUSIS
