1,,Andis Professional,,,,C,,,,
2,02058.jpg,Andis Professional,Attachment Comb 9pc #12995 ,#02058,$10.55 ,Cs Pk 12,,,,040102129957.eps
3,02075.jpg,Andis Professional,Barber Combo Set #66325 ,#02075,$69.39 ,Cs Pk 6,,,,040102663253.eps
4,01782.jpg,Andis Professional,CTX Corded Trimmer #74015 ,#01782,$30.96 ,Cs Pk 6,AHO,,,040102740152.eps
5,02031.jpg,Andis Professional,Easystyle Clipper 7pc #18395 ,#02031,$11.87 ,Cs Pk 12,,,,040102183959.eps
6,02033.jpg,Andis Professional,Easystyle Clipper 13pc #18695 ,#02033,$18.20 ,Cs Pk 12,,,,040102186950.eps
7,02057.jpg,Andis Professional,Envy Clipper #66215 ,#02057,$27.70 ,Cs Pk 6,,,,040102662157.eps
8,01781.jpg,Andis Professional,Envy Combo Trimmer #74020 ,#01781,$51.92 ,Cs Pk 6,AHO,,,040102740206.eps
9,02039.jpg,Andis Professional,Fade Master Blade #01591 ,#02039,$16.82 ,Cs Pk 12,,,,040102015915.eps
10,02025.jpg,Andis Professional,Master Clipper #01557 ,#02025,$78.34 ,Cs Pk 6,,,,040102015571.eps
11,02026.jpg,Andis Professional,Master Clipper Blade #01556 ,#02026,$16.82 ,Cs Pk 12,,,,040102015564.eps
12,02027.jpg,Andis Professional,ML Blade Attachment (7pk) ,#02027,$7.27 ,Cs Pk 12,,,,040102013805.eps
13,02005.jpg,Andis Professional,Outliner II Trimmer #04603 ,#02005,$44.44 ,Cs Pk 12,,,,040102046032.eps
14,02006.jpg,Andis Professional,Outliner II Blade #04604 ,#02006,$12.74 ,Cs Pk 12/72,,,,040102046049.eps
15,02081.jpg,Andis Professional,Pivot Combo Black #24075 ,#02081,$35.78 ,Cs Pk 4,,,,040102240751.eps
16,02032.jpg,Andis Professional,Pivot Motor Combo #23965 ,#02032,$35.78 ,Cs Pk 4,,,,040102239656.eps
17,02041.jpg,Andis Professional,Pivot Pro Blade #23570 ,#02041,$10.17 ,Cs Pk 12,,,,040102235702.eps
18,02023.jpg,Andis Professional,Pivot Pro Trimmer #23475 ,#02023,$25.91 ,Cs Pk 12,,,,040102234750.eps
19,02043.jpg,Andis Professional,Speedmaster Blade #23435 ,#02043,$10.88 ,Cs Pk 12,,,,040102234354.eps
20,01779.jpg,Andis Professional,Profoil Lithium Plus #17200 ,#01779,$44.61 ,Cs Pk 6,AHO,,,040102172007.eps
21,01772.jpg,Andis Professional,Profoil Lithium Shaver #17150 ,#01772,$42.15 ,Cs Pk 6,,,,040102171505.eps
22,01774.jpg,Andis Professional,Profoil Foil #17160 ,#01774,$9.52 ,Cs Pk 6,,,,040102171604.eps
23,01773.jpg,Andis Professional,Profoil Foil & Cutter #17155 ,#01773,$15.47 ,Cs Pk 6,,,,040102171550.eps
24,02053.jpg,Andis Professional,Slimline Pro Li Trimmer #32400 ,#02053,$45.14 ,Cs Pk 6,,,,040102324000.eps
25,02054.jpg,Andis Professional,Slimline Pro Blade #32105 ,#02054,$14.66 ,Cs Pk 12,,,,040102321054.eps
26,01790.jpg,Andis Professional,Styler 1875 Watt #8020 ,#01790,$14.62 ,Cs Pk 4,,,,040102850202.eps
27,01792.jpg,Andis Professional,Soft Brush Attachment ,#01792,$3.80 ,Cs Pk 12,,,,040102850257.eps
28,01791.jpg,Andis Professional,Styler Pik Attachment 2pk,#01791,$2.98 ,Cs Pk 12,,,,040102850301.eps
29,02010.jpg,Andis Professional,Styliner II Trimmer #26700 ,#02010,$37.47 ,Cs Pk 12,,,,040102267000.eps
30,02011.jpg,Andis Professional,Styliner II Blade #26704,#02011,$12.74 ,Cs Pk 6,,,,040102267048.eps
31,01750.jpg,Andis Professional,Supra ZR II Clipper #79005 ,#01750,$215.35 ,Cs Pk 6,AHO,,,040102790058.eps
32,01760.jpg,Andis Professional,Cordless T-Outliner Lithium-Ion Trimmer #74000,#01760,$113.12 ,Cs Pk 6,,,,040102740008.eps
33,02087.jpg,Andis Professional,GTX T-Outliner Trimmer #04775 ,#02087,$53.86 ,Cs Pk 12,,,,040102047756.eps
34,02063.jpg,Andis Professional,GTX T-Outliner Blade #04850 ,#02063,$12.74 ,Cs Pk 12/72,,,,040102048500.eps
35,02020.jpg,Andis Professional,T-Outliner Trimmer #04710 ,#02020,$44.44 ,Cs Pk 12,,,,040102047107.eps
36,02021.jpg,Andis Professional,T-Outliner Blade #04521 ,#02021,$12.74 ,Cs Pk 12/72,,,,040102045219.eps
37,02072.jpg,Andis Professional,T-Outliner & Outliner Replacement Cord #04624 ,#02072,$5.62 ,Cs Pk 1,,,,040102046247.eps
38,,Andis Retail,,,,C,,,,
39,02099.jpg,Andis Retail,Clipper Oil 4oz,#02099,$1.18 ,Cs Pk 48,,,,040102121081.eps
40,02098.jpg,Andis Retail,Cool Care Disinfectant Spray 15oz,#02098,$5.14 ,Cs Pk 12,,,,040102127502.eps
41,02012.jpg,Andis Retail,"Home Curling Iron 1-1/2"" #37670",#02012,$13.09 ,Cs Pk 12,AHO,,wow_icon.jpg,040102376702.eps
42,02067.jpg,Andis Retail,Home Headliner 11pc Kit #29775 ,#02067,$25.42 ,Cs Pk 4,,,,040102297755.eps
43,02066.jpg,Andis Retail,Trim N' Go 14pc Kit #24870 ,#02066,$11.03 ,Cs Pk 6,,,,040102248702.eps
44,,BaByliss Pro Net Priced,,,,C,,,,
46,75660.jpg,BaByliss Pro,Lithium Fx Clipper ,#75660,$75.26 ,Cs Pk 6,,MSRP $129.99,,074108322463.eps
47,75661.jpg,BaByliss Pro,Original Fx Trimmer,#75661,$34.73 ,Cs Pk 6,AHBO,MSRP $59.99,,074108356734.eps
48,75658.jpg,BaByliss Pro,Pivot Motor Clipper ,#75658,$86.84 ,Cs Pk 6,AHO,MSRP $149.99,,074108338631.eps
50,,Barbicide,,,,C,,,,
51,45105.jpg,Barbicide,Disinfectant 16oz,#45105,$3.62 ,Cs Pk 24,,,,017922516113.eps
52,,Clippercide,,,,C,,,,
53,45100.jpg,Clippercide,Aerosol Spray 12oz,#45100,$4.28 ,Cs Pk 12,,,,017922721319.eps
56,,Conair Retail,,,,C,,,,
57,10080.jpg,Conair Retail,"Gold Infiniti Pro 3/4"" Hot Brush ",#10080,$13.46 ,Cs Pk 4,,,,074108343604.eps
58,10072.jpg,Conair Retail,"Gold Infiniti Pro 400F 1"" Flat Iron ",#10072,$13.46 ,Cs Pk 4,,,,074108343390.eps
59,10078.jpg,Conair Retail,Gold Infiniti Pro Curling Wand ,#10078,$16.83 ,Cs Pk 4,,,,074108343376.eps
60,10088.jpg,Conair Retail,Gold Infiniti Pro Hair Clipper ,#10088,$14.59 ,Cs Pk 3,,,,074108346353.eps
61,10086.jpg,Conair Retail,Gold Infiniti Pro Soft Bonnet ,#10086,$26.93 ,Cs Pk 3,,,,074108346681.eps
62,10084.jpg,Conair Retail,Gold Infiniti Pro Styler 1875watt ,#10084,$28.82 ,Cs Pk 2,,,,074108345059.eps
63,,Gold 'N Hot Professional,,,,C,,,,
64,10302.jpg,Gold 'N Hot Prof.,1875 Watt Pistol Dryer #2274 ,#10302,$12.38 ,Cs Pk 12,,,,810667015763.eps
65,10304.jpg,Gold 'N Hot Prof.,1875 Watt Styler Dryer #2275 ,#10304,$17.27 ,Cs Pk 12,,,,810667015770.eps
66,10300.jpg,Gold 'N Hot Prof.,1875 Watt Turbo Dryer #3201 ,#10300,$14.61 ,Cs Pk 12,,,,810667016586.eps
67,10305.jpg,Gold 'N Hot Prof.,Comb Attachment #2276 ,#10305,$3.54 ,Cs Pk 24,,,,810667016470.eps
68,10116.jpg,Gold 'N Hot Prof.,1600 Watt Dryer #3202 ,#10116,$19.45 ,Cs Pk 12,,,,810667016579.eps
69,10118.jpg,Gold 'N Hot Prof.,"1"" Straightener #3001 ",#10118,$19.92 ,Cs Pk 12,,,,810667016456.eps
70,10169.jpg,Gold 'N Hot Prof.,Bonnet Dry Attachment #9477 ,#10169,$7.08 ,Cs Pk 48,,,,810667012304.eps
71,10109.jpg,Gold 'N Hot Prof.,"Spring 11/4"" Iron #9205 ",#10109,$22.10 ,Cs Pk 12,,,,810667012199.eps
72,10162.jpg,Gold 'N Hot Prof.,Conditioning Heat Cap #3400 ,#10162,$23.87 ,Cs Pk 12,,,,810667015848.eps
73,10101.jpg,Gold 'N Hot Prof.,Eurodryer 1875 Watt #8135 ,#10101,$21.22 ,Cs Pk 12,,,,810667011352.eps
74,10110.jpg,Gold 'N Hot Prof.,Hard Hat Dryer 1200 Watt #9271 ,#10110,$36.71 ,Cs Pk 1,,,,810667011703.eps
75,10115.jpg,Gold 'N Hot Prof.,Hard Hat 1875 Watt #5135 ,#10115,$38.89 ,Cs Pk 1/2,,,,810667011697.eps
76,10102.jpg,Gold 'N Hot Prof.,Ionic Soft Jumbo Bonnet Dryer #3985 ,#10102,$33.60 ,Cs Pk 6,,,,810667019198.eps
77,10180.jpg,Gold 'N Hot Prof.,Jumbo Stove #5100 ,#10180,$32.71 ,Cs Pk 6,,,,810667014520.eps
78,10113.jpg,Gold 'N Hot Prof.,Pik Attachment #9077 ,#10113,$4.89 ,Cs Pk 24,,,,810667011543.eps
79,10112.jpg,Gold 'N Hot Prof.,Styling Comb #299 ,#10112,$21.69 ,Cs Pk 12,,,,810667012335.eps
80,10111.jpg,Gold 'N Hot Prof.,"Spring 3/8"" Iron #9388  ",#10111,$20.34 ,Cs Pk 12,,,,810667012113.eps
81,10137.jpg,Gold 'N Hot Prof.,"Spring 1/2"" Iron #192  ",#10137,$20.34 ,Cs Pk 12,,,,810667012205.eps
82,10139.jpg,Gold 'N Hot Prof.,"Spring 3/4"" Iron #193  ",#10139,$20.34 ,Cs Pk 12,,,,810667012212.eps
83,10104.jpg,Gold 'N Hot Prof.,"Spring 1"" Iron #194  ",#10104,$21.22 ,Cs Pk 12,,,,810667012090.eps
84,10155.jpg,Gold 'N Hot Prof.,"Spring 1 1/2"" Iron #9207  ",#10155,$22.99 ,Cs Pk 12,,,,810667012106.eps
85,10121.jpg,Gold 'N Hot Prof.,Stand Dryer 1875 Watt #1053 ,#10121,$90.08 ,Cs Pk 1,,,,027043114143.eps
86,10120.jpg,Gold 'N Hot Prof.,Stove Iron System #5250 ,#10120,$123.33 ,Cs Pk 1,,,,810667012182.eps
87,,Hot Tools,,,,C,,,,
88,30499.jpg,Hot Tools,Mirror ,#30499,$5.01 ,Cs Pk 12,AHO,,wow_icon.jpg,078729925874.eps
89,,One 'n Only Net Priced,,,,C,,,,
90,75691.jpg,One 'n Only,"Argan Heat Ceramic 1.5"" Straightening Iron ",#75691,$34.73 ,Cs Pk 6,AHBO,MSRP $59.99,,074108238924.eps
91,75690.jpg,One 'n Only,"Argan Heat Ceramic 1"" Straightening Iron ",#75690,$34.73 ,Cs Pk 6,AHBO,MSRP $59.99,,074108238917.eps
92,75680.jpg,One 'n Only,Argan Heat Ceramic Dryer ,#75680,$34.73 ,Cs Pk 6,AHBO,MSRP $59.99,,074108238825.eps
93,,Speed-O-Guide,,,,C,,,,
94,69030.jpg,Speed-O-Guide,"Guide 1/16"" ",#69030,$1.46 ,Cs Pk 144,,,,722195001166.eps
95,69033.jpg,Speed-O-Guide,"Guide 1/32"" ",#69033,$1.46 ,Cs Pk 144,,,,722195001326.eps
96,,Turbo Power Net Priced,,,,C,,,,
97,70025.jpg,Turbo Power,Twin Turbo 2600 #304A ,#70025,$69.50 ,Cs Pk 12,,,,8971230011642.eps
98,70008.jpg,Turbo Power,Turbo 1500 #307A ,#70008,$55.80 ,Cs Pk 12,,,,8971230011574.eps
99,70018.jpg,Turbo Power,Megaturbo 2500 #311A ,#70018,$45.79 ,Cs Pk 12,,,,8002780025008.eps
100,70021.jpg,Turbo Power,Turbo2800 Silverado #313A ,#70021,$72.73 ,Cs Pk 12,,,,8021233076015.eps
101,70013.jpg,Turbo Power,Twinturbo 2800 #314A ,#70013,$72.29 ,Cs Pk 12,,,,8971230011710.eps
102,,Wahl,,,,C,,,,
103,94430.jpg,Wahl,Bump-Prevent Shaver/Trimmer #4101 ,#94430,$11.16 ,Cs Pk 4,,,,043917990736.eps
104,94410.jpg,Wahl,Bump-Free Rechargable Shaver #7339 ,#94410,$46.97 ,Cs Pk 3,,,,043917102009.eps
105,94425.jpg,Wahl,Detail Battery Trimmer #9972 ,#94425,$8.93 ,Cs Pk 4,,,,043917997209.eps
106,94400.jpg,Wahl,Fade Pro Haircut Kit #1201 ,#94400,$21.36 ,Cs Pk 3,,,,043917791074.eps
107,94464.jpg,Wahl,Groomsman T-Pro Kit #9860 ,#94464,$24.06 ,Cs Pk 3,,,,043917102795.eps
108,94458.jpg,Wahl,Replacement Cutter Bar Assembly Titanium Foils,#94458,$10.11 ,Cs Pk 6,,,,043917701950.eps
109,94460.jpg,Wahl,T-Pro Corded Trimmer #9307-300 ,#94460,$14.89 ,Cs Pk 3,,,,043917930756.eps
110,94415.jpg,Wahl,T-Pro Clipper/Trimmer Combo #1501 ,#94415,$36.65 ,Cs Pk 3,,,,043917791050.eps
111,94420.jpg,Wahl,T-Styler Pro Trimmer #9686 ,#94420,$21.98 ,Cs Pk 3,,,,043917100791.eps
112,94405.jpg,Wahl,Ultra Close Cut Pro #1301 ,#94405,$24.18 ,Cs Pk 3,,,,043917791067.eps
113,,Weave Dryer Net Priced,,,,C,,,,
114,06550.jpg,Weave Dryer,Dryer Nozzle Attachment ,#06550,$14.59 ,Cs Pk 6/72,AHO,,wow_icon.jpg,864321000305.eps
115,default_link.jpg,Manufac,Name,Child,$0.00 ,*Note,WRHS,MSRP,bonus_icon.jpg,upc.eps
