"001","28885.jpg","*African Pride","Moisture Miracle Mixed 14pc Pre-Pack ","#28885","$47.85","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"002","66190.jpg","*Bigen","41pc Pre-pack ","#66190","$28.80","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"003","66194.jpg","*Bigen","EZ Color for Men 12pc Display ","#66194","$4.80","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"004","89924.jpg","*Blue Magic","Bergamot 12oz/Shea Butter 12oz ","#89924","$25.79","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"005","89918.jpg","*Blue Magic","Conditioner 12oz/Olive Oil Aloe 12oz ","#89918","$25.79","display<\#13>($0.00 each)","Code BH","Minimum 1 pcs<\#13>*Order as 1 unit<\#13>","new_icon.jpg"
"006","78215.jpg","Black Radiance","Perfect Tone Matte Lip Crème Doll Face #5416 ","#78215","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"007","78113.jpg","Black Radiance","Lash Lengthening Mascara ","#78113","$3.01","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"008","78255.jpg","Black Radiance","True Complexion 3D Highlighter Palette ","#78255","$6.42","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"009","79954.jpg","Black Radiance","Eye Appeal Shadow Collection ","#79954","$4.20","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"010","78267.jpg","Black Radiance","Body Building Mascara #CA6435A Black ","#78267","$2.56","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"011","78134.jpg","Black Radiance","Artisan Color Baked Blush Rich Peach #8314 ","#78134","$3.01","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"012","78133.jpg","Black Radiance","Artisan Color Baked Bronzer Rose Gold #3521 ","#78133","$3.01","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"013","78265.jpg","Black Radiance","Bold & Sexy Fiber Mascara Black #CA6431A ","#78265","$3.84","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"014","78298.jpg","Black Radiance","Cocoa Moisture Balm ","#78298","$5.14","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"015","78263.jpg","Black Radiance","True Complexion Contour Palette Dark to Deep #8236 ","#78263","$5.14","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"016","78291.jpg","Black Radiance","Dewy Setting Spray ","#78291","$5.14","<\#13>each","Code BH","Minimum 2/48 pcs<\#13>","new_icon.jpg"
"017","77857.jpg","Black Radiance","Urban Identity Dual Eye Definer Chocolate/Brown #CA9002 ","#77857","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"018","77856.jpg","Black Radiance","Urban Identity Dual Eye Definer Black/Jade #CA9001 ","#77856","$2.41","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"019","79331.jpg","Black Radiance","True Complexion Under Eye Corrector & Concealer ","#79331","$3.60","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
"020","78357.jpg","Black Radiance","Eye Appeal Shadow Collection ","#78357","$4.20","<\#13>each","Code BH","Minimum 3/48 pcs<\#13>","new_icon.jpg"
